Prices,URL,Name,Image
349,/chimpunes-copa-19.3-fg/BB9187.html,Chimpunes COPA 19.3 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwb459a43c/zoom/BB9187_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-copa-19.4-tf/D98070.html,Chimpunes COPA 19.4 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw24c2841a/zoom/D98070_00_plp_standard.jpg?sw=230&strip=false
499,/zapatillas-predator-19.1/F35849.html,Zapatillas Predator 19.1,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw8ed9476f/zoom/F35849_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-x-18.3-tf/BB9398.html,Chimpunes X 18.3 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw11ca44b1/zoom/BB9398_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-x-18.4-fg/BB9375.html,Chimpunes X 18.4 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwab2f787d/zoom/BB9375_00_plp_standard.jpg?sw=230&strip=false
499,/zapatillas-predator-19.1/D98056.html,Zapatillas Predator 19.1,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw785c0274/zoom/D98056_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-predator-19.3-tr/D97969.html,Chimpunes PREDATOR 19.3 TR,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw3e5ae03a/zoom/D97969_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-nemeziz-18.3-fg/BB9437.html,Chimpunes NEMEZIZ 18.3 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwa3f2e2af/zoom/BB9437_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-x-18.4-tf/BB9412.html,Chimpunes X 18.4 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw728ed8b5/zoom/BB9412_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-predator-19.3-tf/D97962.html,Chimpunes PREDATOR 19.3 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw7eb4bbcc/zoom/D97962_00_plp_standard.jpg?sw=230&strip=false
449,/zapatillas-nmd_r1/AQ0882.html,Zapatillas NMD_R1,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0ae20fa3/zoom/AQ0882_02_hover_frv.jpg?sw=230&strip=false
349,/chimpunes-nemeziz-messi-18.3-tf/D97267.html,Chimpunes NEMEZIZ MESSI 18.3 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwdfc75e48/zoom/D97267_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-nemeziz-18.4-tf/D97994.html,Chimpunes NEMEZIZ 18.4 TF,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw01b51f5f/zoom/D97994_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-x-18-4-in/BB9405.html,Chimpunes X 18 4 IN,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw001e86a8/zoom/BB9405_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-copa-19-4-in/D98073.html,Chimpunes COPA 19 4 IN,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwdbf55253/zoom/D98073_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-nemeziz-messi-18.3-fg/BC0316.html,Chimpunes NEMEZIZ MESSI 18.3 FG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw9f9a7eed/zoom/BC0316_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-x-18-3-in/BB9391.html,Chimpunes X 18 3 IN,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwb797a81f/zoom/BB9391_00_plp_standard.jpg?sw=230&strip=false
349,/chimpunes-predator-19.3-in/D97965.html,Chimpunes PREDATOR 19.3 IN,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwf8e63dfc/zoom/D97965_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-predator-19.4-fxg/D97970.html,Chimpunes PREDATOR 19.4 FxG,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwabe50a97/zoom/D97970_00_plp_standard.jpg?sw=230&strip=false
999,/chimpunes-copa-19-terreno-firme/BB9163.html,Chimpunes Copa 19+ Terreno Firme,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwc882ea6a/zoom/BB9163_00_plp_standard.jpg?sw=230&strip=false
189,/zapatillas-galaxy-4/B75570.html,Zapatillas Galaxy 4,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0edf9e1b/zoom/B75570_00_plp_standard.jpg?sw=230&strip=false
399,/zapatillas-3st.002/B22730.html,Zapatillas 3ST.002,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwbf9010f5/zoom/B22730_00_plp_standard.jpg?sw=230&strip=false
299,/zapatillas-campus-adv/B22716.html,Zapatillas Campus ADV,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw26baea05/zoom/B22716_00_plp_standard.jpg?sw=230&strip=false
189,/chimpunes-nemeziz-messi-18.4-tf-j/CM8642.html,Chimpunes NEMEZIZ MESSI 18.4 TF J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw11de6b95/zoom/CM8642_00_plp_standard.jpg?sw=230&strip=false
189,/chimpunes-nemeziz-messi-tango-18.4-bajo-techo/CM8639.html,Chimpunes Nemeziz Messi Tango 18.4 Bajo Techo,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwc3f06af1/zoom/CM8639_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-predator-19.3-tf-j/CM8547.html,Chimpunes PREDATOR 19.3 TF J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw1808a5e2/zoom/CM8547_00_plp_standard.jpg?sw=230&strip=false
259,/chimpunes-nemeziz-messi-18.3-tf-j/CM8636.html,Chimpunes NEMEZIZ MESSI 18.3 TF J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwabda8179/zoom/CM8636_00_plp_standard.jpg?sw=230&strip=false
189,/chimpunes-x-18.4-fxg-j/BB9378.html,Chimpunes X 18.4 FxG J,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw88c218b1/zoom/BB9378_00_plp_standard.jpg?sw=230&strip=false
