Prices,URL,Image,Name
229,/zapatillas-3mc-vulc/B22701.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw29de0ac7/zoom/B22701_00_plp_standard.jpg?sw=230&strip=false,Zapatillas 3MC Vulc
229,/zapatillas-3mc/B44946.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw1e54a89a/zoom/B44946_00_plp_standard.jpg?sw=230&strip=false,Zapatillas 3MC
229,/zapatillas-3mc-vulc/B22699.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw07506841/zoom/B22699_00_plp_standard.jpg?sw=230&strip=false,Zapatillas 3MC Vulc
229,/zapatillas-3mc/B44945.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw1d740fc3/zoom/B44945_00_plp_standard.jpg?sw=230&strip=false,Zapatillas 3MC
429,/zapatillas-i-5923/B37919.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw4b3a6c08/zoom/B37919_00_plp_standard.jpg?sw=230&strip=false,Zapatillas I-5923
429,/zapatillas-i-5923/B37924.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0cd83027/zoom/B37924_00_plp_standard.jpg?sw=230&strip=false,Zapatillas I-5923
399,/zapatillas-3st.002/B22730.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwbf9010f5/zoom/B22730_00_plp_standard.jpg?sw=230&strip=false,Zapatillas 3ST.002
299,/zapatillas-campus-adv/B22716.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw26baea05/zoom/B22716_00_plp_standard.jpg?sw=230&strip=false,Zapatillas Campus ADV
449,/zapatillas-nmd_r1/AQ0882.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw0ae20fa3/zoom/AQ0882_02_hover_frv.jpg?sw=230&strip=false,Zapatillas NMD_R1
599,/zapatillas-nmd_cs1-pk/BB9260.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dwd196b309/zoom/BB9260_00_plp_standard.jpg?sw=230&strip=false,Zapatillas NMD_CS1 PK
449,/zapatillas-nmd_r1/B37617.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw929cc469/zoom/B37617_00_plp_standard.jpg?sw=230&strip=false,Zapatillas NMD_R1
299,/zapatillas-campus/BZ0084.html,https://www.adidas.pe/dis/dw/image/v2/aaqx_prd/on/demandware.static/-/Sites-adidas-products/default/dw4e0d7fee/zoom/BZ0084_00_plp_standard.jpg?sw=230&strip=false,Zapatillas Campus
