url,low_price,image,name,normal_price
https://tienda.plazavea.com.pe/televisor-orange-led-55-uhd-smart-tv-lq55uacs/p,"S/ 1,169.00",https://plazavea.vteximg.com.br/arquivos/ids/189839-220-220/20111550.jpg?v=636318536460230000,"Televisor ORANGE LED 55"" UHD Smart TV LQ55UACS","S/ 2,099.00"
https://tienda.plazavea.com.pe/televisor-samsung-qled-49-uhd-4k-smart-tv-qn49q6fnagxpe/p,"S/ 2,599.00",https://plazavea.vteximg.com.br/arquivos/ids/203350-220-220/20145552.jpg?v=636749693958400000,"Televisor SAMSUNG QLED 49"" UHD 4K Smart TV QN49Q6FNAGXPE","S/ 3,999.00"
https://tienda.plazavea.com.pe/monitor-lg-led-28-28lk430b/p,S/ 449.00,https://plazavea.vteximg.com.br/arquivos/ids/205300-220-220/20148273.jpg?v=636786141226100000,"Monitor LG LED 28"" 28LK430B",S/ 599.00
https://tienda.plazavea.com.pe/monitor-lg-led-28-28lk430b/p,S/ 449.00,https://plazavea.vteximg.com.br/arquivos/ids/205300-220-220/20148273.jpg?v=636786141226100000,"Monitor LG LED 28"" 28LK430B",S/ 599.00
https://tienda.plazavea.com.pe/televisor-samsung-led-55-uhd-4k-curvo-smart-tv-un55mu6300/p,"S/ 1,899.00",https://plazavea.vteximg.com.br/arquivos/ids/204309-220-220/20146687.jpg?v=636772017912770000,"Televisor SAMSUNG LED 55""UHD 4K Curvo Smart TV UN55MU6300","S/ 2,799.00"
https://tienda.plazavea.com.pe/televisor-lg-led-55-uhd-4k-smart-tv-55uk6550psb-awf/p,"S/ 2,099.00",https://plazavea.vteximg.com.br/arquivos/ids/202659-220-220/20145722.jpg?v=636731315668430000,"Televisor LG LED 55"" UHD 4K Smart TV 55UK6550PSB.AWF","S/ 4,699.00"
https://tienda.plazavea.com.pe/televisor-lg-led-70-uhd-4k-smart-tv-70uk6550/p,"S/ 4,699.00",https://plazavea.vteximg.com.br/arquivos/ids/204723-220-220/20145723.jpg?v=636776604088170000,"Televisor LG LED 70"" UHD 4K Smart TV 70UK6550","S/ 12,999.00"
https://tienda.plazavea.com.pe/televisor-lg-led-43-uhd-4k-smart-tv-43uk6300psb-awf/p,"S/ 1,399.00",https://plazavea.vteximg.com.br/arquivos/ids/202071-220-220/20145554.jpg?v=636710009077000000,Televisor LG LED 43'' UHD 4K Smart TV 43UK6300PSB.AWF,"S/ 1,599.00"
https://tienda.plazavea.com.pe/televisor-lg-led-55-uhd-4k-smart-tv-55uk6350/p,"S/ 1,699.00",https://plazavea.vteximg.com.br/arquivos/ids/199529-220-220/20145557.jpg?v=636664101864730000,"Televisor LG LED 55"" UHD 4K Smart TV 55UK6350","S/ 2,699.00"
https://tienda.plazavea.com.pe/televisor-lg-led-50-uhd-4k-smart-tv-50uk6550psb-awf/p,"S/ 1,699.00",https://plazavea.vteximg.com.br/arquivos/ids/202658-220-220/20145548.jpg?v=636731315663230000,"Televisor LG LED 50"" UHD 4K Smart TV 50UK6550PSB.AWF","S/ 2,299.00"
https://tienda.plazavea.com.pe/televisor-samsung-led-50-uhd-4k-smart-tv-un50nu7100gxpe/p,"S/ 1,399.00",https://plazavea.vteximg.com.br/arquivos/ids/202070-220-220/20145537.jpg?v=636710009073070000,Televisor SAMSUNG LED 50'' UHD 4K Smart TV UN50NU7100GXPE,"S/ 2,199.00"
https://tienda.plazavea.com.pe/televisor-samsung-led-65-uhd-4k-flat-smart-tv-un65nu7100gxpe/p,"S/ 2,499.00",https://plazavea.vteximg.com.br/arquivos/ids/202429-220-220/20145542.jpg?v=636722709696300000,"Televisor SAMSUNG LED 65"" UHD 4K Flat Smart TV UN65NU7100GXPE","S/ 4,499.00"
https://tienda.plazavea.com.pe/televisor-sony-led-55-uhd-smart-tv-kd55x725fc/p,"S/ 1,899.00",https://plazavea.vteximg.com.br/arquivos/ids/199329-220-220/20145266.jpg?v=636657832209170000,"Televisor SONY LED 55"" UHD Smart TV KD55X725F-C","S/ 3,599.00"
https://tienda.plazavea.com.pe/kit-directv-prepago/p,S/ 39.90,https://plazavea.vteximg.com.br/arquivos/ids/202746-220-220/20115451.jpg?v=636734838994630000,Kit DIRECTV Prepago,S/ 49.90
https://tienda.plazavea.com.pe/televisor-hyundai-led-49-smart-uhd-curvo-hyled4917c4k/p,"S/ 1,399.00",https://plazavea.vteximg.com.br/arquivos/ids/196857-220-220/20137968.jpg?v=636601018802970000,"Televisor HYUNDAI LED 49"" SMART UHD CURVO HYLED4917C4K","S/ 1,599.00"
https://tienda.plazavea.com.pe/televisor-aoc-led-55-uhd-smart-le55u7970/p,"S/ 1,399.00",https://plazavea.vteximg.com.br/arquivos/ids/193291-220-220/20135832.jpg?v=636469672064430000,"Televisor AOC LED 55"" UHD Smart LE55U7970","S/ 2,499.00"
https://tienda.plazavea.com.pe/televisor-daewoo-led-24-l24t650abs/p,S/ 319.00,https://plazavea.vteximg.com.br/arquivos/ids/199185-220-220/20129762.jpg?v=636652018353930000,"Televisor DAEWOO LED 24"" L24T650ABS",S/ 499.00
https://tienda.plazavea.com.pe/televisor-aoc-led-49-fhd-smart-tv-le49s597/p,"S/ 1,099.00",https://plazavea.vteximg.com.br/arquivos/ids/190180-220-220/20126966.jpg?v=636330416742900000,"Televisor AOC LED 49"" FHD Smart TV LE49S597","S/ 1,399.00"
https://tienda.plazavea.com.pe/televisor-samsung-led-49-uhd-curvo-smart-tv-49mu6300/p,"S/ 1,599.00",https://plazavea.vteximg.com.br/arquivos/ids/189852-220-220/20125027.jpg?v=636318592447570000,"Televisor SAMSUNG LED 49"" UHD Curvo Smart TV 49MU6300","S/ 3,599.00"
https://tienda.plazavea.com.pe/televisor-daewoo-led-43-fhd-smart-tv-l43s780bts/p,S/ 799.00,https://plazavea.vteximg.com.br/arquivos/ids/190341-220-220/20117620.jpg?v=636346881525530000,"Televisor DAEWOO LED 43"" FHD Smart TV L43S780BTS","S/ 1,299.00"
https://tienda.plazavea.com.pe/combo-televisor-lg-led-32-hd-smart-tv-32lk540bpsa-x2/p,,https://plazavea.vteximg.com.br/arquivos/ids/203968-220-220/s000000177.jpg?v=636761783757930000,"Combo Televisor LG LED 32"" HD Smart TV 32LK540BPSA x 2",
